-15;-10;-7;-5;-3;-2;-2;-2;-2;-1;-1;0;1;10;70;85;90;88;85;80;76;73;70;65;57;48;40;37;33;30;28;27;25;23;20;18;10;5;0;0;0;0;0;0;0;0;-2;-2;-3;-5;-7;-9;-11;-13;-15;-17;-18;-18;-18;-17;-17;-16;-16;-15
-14;-9;-6;-4;-2;-2;-2;-2;-2;-1;0;1;2;20;75;87;86;85;84;79;75;72;69;64;55;47;39;36;32;29;27;26;24;22;15;10;5;0;0;0;0;0;0;0;0;0;0;-2;-2;-3;-5;-7;-9;-11;-13;-15;-17;-17;-16;-15;-16;-16;-15;-15
-13;-8;-5;-3;-2;-2;-2;-2;-1;-1;0;2;4;30;80;88;84;82;81;78;74;71;68;63;54;46;38;35;31;28;26;22;23;15;10;5;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;-3;-5;-7;-9;-11;-13;-16;-15;-15;-14;-14;-14;-14;-13
-11;-7;-4;-2;-2;-2;-2;-2;-1;0;0;3;5;40;82;80;75;69;67;65;63;62;59;55;50;44;37;34;30;29;25;21;21;13;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;-3;-5;-7;-9;-11;-14;-14;-14;-13;-13;-13;-12;-12
-9;-6;-2;-2;-2;-2;-2;-2;1;0;0;4;7;50;84;70;60;58;56;55;53;51;49;46;43;41;36;33;29;28;26;20;19;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;-3;-5;-7;-9;-10;-11;-12;-12;-13;-11;-12;-11
-8;-6;-2;-2;-2;-2;-2;-2;-1;0;0;5;10;60;70;60;50;49;48;48;47;45;43;41;40;38;35;34;28;27;25;19;17;9;4;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;-2;-2;-3;-5;-6;-7;-8;-8;-9;-10;-11;-10;-9
-7;-5;-2;-2;-2;-2;-2;-2;0;0;0;6;15;58;66;55;45;44;43;42;41;40;39;38;38;37;34;33;27;26;24;18;15;8;3;0;0;0;0;1;2;2;2;2;3;1;1;0;0;0;0;0;-2;-2;-3;-4;-5;-6;-6;-7;-9;-10;-9;-8
-6;-5;-2;-2;-2;-2;-2;-2;0;1;1;7;14;55;60;50;35;30;31;31;32;32;33;34;34;35;32;31;26;25;23;17;13;7;5;0;0;0;1;2;3;4;4;5;6;6;7;7;2;0;0;0;0;-2;-2;-3;-4;-5;-5;-6;-8;-9;-7;-7
-2;-2;-3;-2;-2;-2;-2;-2;0;1;1;5;10;50;55;45;25;26;27;28;29;30;30;31;31;32;30;29;25;24;22;16;12;10;7;0;0;4;5;6;7;8;9;9;8;7;6;5;4;3;4;3;1;0;-2;-2;-2;-2;-2;-3;-5;-6;-6;-5
-1;-1;-1;-2;-2;-2;-2;-2;1;1;1;4;6;45;50;30;20;21;22;23;24;25;27;28;29;31;29;28;24;21;20;15;11;14;10;5;0;5;6;7;8;9;10;12;11;10;9;8;8;7;5;4;2;1;0;0;-2;-2;-2;-2;-2;-2;-2;-2
-1;-1;-1;-1;-1;-1;0;0;1;1;1;3;4;40;30;25;15;17;19;20;22;23;24;25;27;30;28;25;22;20;18;15;10;15;18;20;22;25;28;30;27;25;24;21;22;20;19;17;15;25;30;40;4;3;1;1;1;0;0;-1;-1;-1;-1;-1
